U000EC, LATIN SMALL LETTER I WITH GRAVE        , igrave
U000ED, LATIN SMALL LETTER I WITH ACUTE        , iacute
U000EE, LATIN SMALL LETTER I WITH CIRCUMFLEX   , icirc
U000EF, LATIN SMALL LETTER I WITH DIAERESIS    , iuml
U000F0, LATIN SMALL LETTER ETH                 , eth
U000F1, LATIN SMALL LETTER N WITH TILDE        , ntilde
U000F2, LATIN SMALL LETTER O WITH GRAVE        , ograve
U000F3, LATIN SMALL LETTER O WITH ACUTE        , oacute
U000F4, LATIN SMALL LETTER O WITH CIRCUMFLEX   , ocirc
U000F5, LATIN SMALL LETTER O WITH TILDE        , otilde
U000F6, LATIN SMALL LETTER O WITH DIAERESIS    , ouml
U000F7, DIVISION SIGN                          , divide, div
U000F8, LATIN SMALL LETTER O WITH STROKE       , oslash
U000F9, LATIN SMALL LETTER U WITH GRAVE        , ugrave
U000FA, LATIN SMALL LETTER U WITH ACUTE        , uacute
U000FB, LATIN SMALL LETTER U WITH CIRCUMFLEX   , ucirc
U000FC, LATIN SMALL LETTER U WITH DIAERESIS    , uuml
U000FD, LATIN SMALL LETTER Y WITH ACUTE        , yacute
U000FE, LATIN SMALL LETTER THORN               , thorn
U000FF, LATIN SMALL LETTER Y WITH DIAERESIS    , yuml
U00100, LATIN CAPITAL LETTER A WITH MACRON     , Amacr
U00101, LATIN SMALL LETTER A WITH MACRON       , amacr
U00102, LATIN CAPITAL LETTER A WITH BREVE      , Abreve
U00103, LATIN SMALL LETTER A WITH BREVE        , abreve
U00104, LATIN CAPITAL LETTER A WITH OGONEK     , Aogon
U00105, LATIN SMALL LETTER A WITH OGONEK       , aogon
U00106, LATIN CAPITAL LETTER C WITH ACUTE      , Cacute
U00107, LATIN SMALL LETTER C WITH ACUTE        , cacute
U00108, LATIN CAPITAL LETTER C WITH CIRCUMFLEX , Ccirc
U00109, LATIN SMALL LETTER C WITH CIRCUMFLEX   , ccirc
U0010A, LATIN CAPITAL LETTER C WITH DOT ABOVE  , Cdot
U0010B, LATIN SMALL LETTER C WITH DOT ABOVE    , cdot
U0010C, LATIN CAPITAL LETTER C WITH CARON      , Ccaron
U0010D, LATIN SMALL LETTER C WITH CARON        , ccaron
U0010E, LATIN CAPITAL LETTER D WITH CARON      , Dcaron
U0010F, LATIN SMALL LETTER D WITH CARON        , dcaron
U00110, LATIN CAPITAL LETTER D WITH STROKE     , Dstrok
U00111, LATIN SMALL LETTER D WITH STROKE       , dstrok
U00112, LATIN CAPITAL LETTER E WITH MACRON     , Emacr
U00113, LATIN SMALL LETTER E WITH MACRON       , emacr
U00116, LATIN CAPITAL LETTER E WITH DOT ABOVE  , Edot
U00117, LATIN SMALL LETTER E WITH DOT ABOVE    , edot
U00118, LATIN CAPITAL LETTER E WITH OGONEK     , Eogon
U00119, LATIN SMALL LETTER E WITH OGONEK       , eogon
U0011A, LATIN CAPITAL LETTER E WITH CARON      , Ecaron
U0011B, LATIN SMALL LETTER E WITH CARON        , ecaron
U0011C, LATIN CAPITAL LETTER G WITH CIRCUMFLEX , Gcirc
U0011D, LATIN SMALL LETTER G WITH CIRCUMFLEX   , gcirc
U0011E, LATIN CAPITAL LETTER G WITH BREVE      , Gbreve
U0011F, LATIN SMALL LETTER G WITH BREVE        , gbreve
U00120, LATIN CAPITAL LETTER G WITH DOT ABOVE  , Gdot
U00121, LATIN SMALL LETTER G WITH DOT ABOVE    , gdot
U00122, LATIN CAPITAL LETTER G WITH CEDILLA    , Gcedil
U00124, LATIN CAPITAL LETTER H WITH CIRCUMFLEX , Hcirc
U00125, LATIN SMALL LETTER H WITH CIRCUMFLEX   , hcirc
U00126, LATIN CAPITAL LETTER H WITH STROKE     , Hstrok
U00127, LATIN SMALL LETTER H WITH STROKE       , hstrok
U00128, LATIN CAPITAL LETTER I WITH TILDE      , Itilde
U00129, LATIN SMALL LETTER I WITH TILDE        , itilde
U0012A, LATIN CAPITAL LETTER I WITH MACRON     , Imacr
U0012B, LATIN SMALL LETTER I WITH MACRON       , imacr
U0012E, LATIN CAPITAL LETTER I WITH OGONEK     , Iogon
U0012F, LATIN SMALL LETTER I WITH OGONEK       , iogon
U00130, LATIN CAPITAL LETTER I WITH DOT ABOVE  , Idot
U00131, LATIN SMALL LETTER DOTLESS I           , imath, inodot
U00132, LATIN CAPITAL LIGATURE IJ              , IJlig
U00133, LATIN SMALL LIGATURE IJ                , ijlig
U00134, LATIN CAPITAL LETTER J WITH CIRCUMFLEX , Jcirc
U00135, LATIN SMALL LETTER J WITH CIRCUMFLEX   , jcirc
U00136, LATIN CAPITAL LETTER K WITH CEDILLA    , Kcedil
U00137, LATIN SMALL LETTER K WITH CEDILLA      , kcedil
U00138, LATIN SMALL LETTER KRA                 , kgreen
U00139, LATIN CAPITAL LETTER L WITH ACUTE      , Lacute
U0013A, LATIN SMALL LETTER L WITH ACUTE        , lacute
U0013B, LATIN CAPITAL LETTER L WITH CEDILLA    , Lcedil
U0013C, LATIN SMALL LETTER L WITH CEDILLA      , lcedil
U0013D, LATIN CAPITAL LETTER L WITH CARON      , Lcaron
U0013E, LATIN SMALL LETTER L WITH CARON        , lcaron
U0013F, LATIN CAPITAL LETTER L WITH MIDDLE DOT , Lmidot
U00140, LATIN SMALL LETTER L WITH MIDDLE DOT   , lmidot
U00141, LATIN CAPITAL LETTER L WITH STROKE     , Lstrok
U00142, LATIN SMALL LETTER L WITH STROKE       , lstrok
U00143, LATIN CAPITAL LETTER N WITH ACUTE      , Nacute
U00144, LATIN SMALL LETTER N WITH ACUTE        , nacute
U00145, LATIN CAPITAL LETTER N WITH CEDILLA    , Ncedil
U00146, LATIN SMALL LETTER N WITH CEDILLA      , ncedil
U00147, LATIN CAPITAL LETTER N WITH CARON      , Ncaron
U00148, LATIN SMALL LETTER N WITH CARON        , ncaron
U00149, LATIN SMALL LETTER N PRECEDED BY APOSTROPHE, napos
U0014A, LATIN CAPITAL LETTER ENG               , ENG
U0014B, LATIN SMALL LETTER ENG                 , eng
U0014C, LATIN CAPITAL LETTER O WITH MACRON     , Omacr
U0014D, LATIN SMALL LETTER O WITH MACRON       , omacr
U00150, LATIN CAPITAL LETTER O WITH DOUBLE ACUTE, Odblac
U00151, LATIN SMALL LETTER O WITH DOUBLE ACUTE , odblac
U00152, LATIN CAPITAL LIGATURE OE              , OElig
U00153, LATIN SMALL LIGATURE OE                , oelig
U00154, LATIN CAPITAL LETTER R WITH ACUTE      , Racute
U00155, LATIN SMALL LETTER R WITH ACUTE        , racute
U00156, LATIN CAPITAL LETTER R WITH CEDILLA    , Rcedil
U00157, LATIN SMALL LETTER R WITH CEDILLA      , rcedil
U00158, LATIN CAPITAL LETTER R WITH CARON      , Rcaron
U00159, LATIN SMALL LETTER R WITH CARON        , rcaron
U0015A, LATIN CAPITAL LETTER S WITH ACUTE      , Sacute
U0015B, LATIN SMALL LETTER S WITH ACUTE        , sacute
U0015C, LATIN CAPITAL LETTER S WITH CIRCUMFLEX , Scirc
